2026-03-09 00:22:52 | DEBUG    | get_tw_stock_data:387 | ======================================================================
2026-03-09 00:22:52 | INFO     | get_financial_data:540 |   ✅ 2330 成功: NT$1890.0
2026-03-09 00:22:52 | INFO     | get_financial_data:547 | Step 2: 獲取美股 (20 檔)
2026-03-09 00:22:52 | WARNING  | get_financial_data:587 | 未設定 FINNHUB_API_KEY，使用 yfinance (可能不穩定)
2026-03-09 00:22:52 | DEBUG    | get_financial_data:605 |   ✅ VT yfinance: $141.92999267578125
2026-03-09 00:22:52 | DEBUG    | get_financial_data:605 |   ✅ QQQ yfinance: $599.75
2026-03-09 00:22:53 | DEBUG    | get_financial_data:605 |   ✅ SPY yfinance: $672.3800048828125
2026-03-09 00:22:53 | DEBUG    | get_financial_data:605 |   ✅ DIA yfinance: $475.2300109863281
2026-03-09 00:22:53 | DEBUG    | get_financial_data:605 |   ✅ EWT yfinance: $69.5199966430664
2026-03-09 00:22:53 | DEBUG    | get_financial_data:605 |   ✅ QCOM yfinance: $135.69000244140625
2026-03-09 00:22:53 | DEBUG    | get_financial_data:605 |   ✅ ANET yfinance: $132.88999938964844
2026-03-09 00:22:53 | DEBUG    | get_financial_data:605 |   ✅ TSLA yfinance: $396.7300109863281
2026-03-09 00:22:53 | DEBUG    | get_financial_data:605 |   ✅ NVDA yfinance: $177.82000732421875
2026-03-09 00:22:53 | DEBUG    | get_financial_data:605 |   ✅ GOOGL yfinance: $298.5199890136719
2026-03-09 00:22:53 | DEBUG    | get_financial_data:605 |   ✅ AAPL yfinance: $257.4599914550781
2026-03-09 00:22:53 | DEBUG    | get_financial_data:605 |   ✅ META yfinance: $644.8599853515625
2026-03-09 00:22:53 | DEBUG    | get_financial_data:605 |   ✅ AMZN yfinance: $213.2100067138672
2026-03-09 00:22:54 | DEBUG    | get_financial_data:605 |   ✅ MSFT yfinance: $408.9599914550781
2026-03-09 00:22:54 | DEBUG    | get_financial_data:605 |   ✅ MU yfinance: $370.29998779296875
2026-03-09 00:22:54 | DEBUG    | get_financial_data:605 |   ✅ PLTR yfinance: $157.16000366210938
2026-03-09 00:22:54 | DEBUG    | get_financial_data:605 |   ✅ ORCL yfinance: $152.9600067138672
